,Variable,Coefficient,Odds Ratio,Importance,P-value
27,eqpdays,0.3794,1.46,0.3793638863198257,1.203497791916406e-89
23,uniqsubs,0.2433,1.28,0.24329892996966462,6.3900215796772296e-21
22,months,-0.2111,0.81,0.21108226836052574,8.608739694418916e-29
66,retcall,0.1504,1.16,0.15041527446699518,6.130349897593765e-05
2,mou,-0.1382,0.87,0.13817581450458077,6.299077429443207e-08
24,actvsubs,-0.1338,0.87,0.13376384423009224,9.507662660105176e-13
7,changem,-0.1247,0.88,0.1246686971456013,6.491707005297896e-20
9,dropvce,0.1195,1.13,0.11949785202550652,0.019024459853867536
32,creditaa,-0.1112,0.89,0.11115512852056639,4.025774182974137e-24
1,revenue,0.0973,1.1,0.09727490774837842,0.004571511032829143
28,age1,-0.0855,0.92,0.08552690267483913,1.5800818182701622e-06
8,changer,0.0854,1.09,0.08535533825489768,2.7362645363101443e-09
3,recchrge,-0.0839,0.92,0.08389550320121807,4.652279935283994e-05
36,refurb,0.0819,1.09,0.0819411363432759,1.5839320947811677e-13
17,peakvce,-0.0741,0.93,0.07414630508409163,0.0008144566030933128
64,setprcm,-0.0714,0.93,0.07140330804766747,1.8579682793227017e-05
5,overage,0.0677,1.07,0.06767009581961661,0.011429920627312656
25,phones,0.0639,1.07,0.0639027310789997,0.006979936496110254
16,incalls,-0.0553,0.95,0.055281382130871096,0.0014070012286608463
6,roam,0.0516,1.05,0.051551073864429725,0.0017598449453520458
48,marryun,0.049,1.05,0.04900407409601557,0.003010383020155065
31,credita,-0.0474,0.95,0.04741674523846084,7.457208977683578e-06
37,webcap,-0.0449,0.96,0.04490229105626159,8.011540565122678e-05
15,outcalls,0.0442,1.05,0.04416098206269985,0.028322182147129848
30,children,0.0407,1.04,0.04068961453117286,0.000733385119229183
12,custcare,-0.0328,0.97,0.03280306680242164,0.013079466023182112
13,threeway,-0.0318,0.97,0.031795225224863624,0.0077995294498947685
58,newcelly,-0.0267,0.97,0.02667195485994057,0.01223253497108178
65,setprc,0.0262,1.03,0.02618134922842007,0.021467412447302252
62,income,-0.0258,0.97,0.02578178244885558,0.022826585324917797
0,,,,,
4,,,,,
10,,,,,
11,,,,,
14,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
26,,,,,
29,,,,,
33,,,,,
34,,,,,
35,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
59,,,,,
60,,,,,
61,,,,,
63,,,,,
